agency,document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt
014,2023-03-17,195267486,KORN FERRY US,12544234,,2023-08-30,192675,15000.0
11,2023-06-13,PSI19-73493,CENTRAL SALT LLC,12339919,,2023-08-29,343659,1926.59
11,2023-07-31,452365,CITY OF MITCHELL,12054862,02,2023-08-29,342428,18.4
16,2023-07-26,6482610,D M G  INC,12032728,,2023-08-29,339487,500.0
11,2023-03-16,11328229,MCMASTER-CARR SUPPLY COMPANY,12016786,,2023-08-29,343037,76.89
11,2023-04-20,862301448X,PRAMUKHRAJ PIERRE LLC,12494998,,2023-08-29,342369,76.0
14,2023-08-24,SEP23 RENT OEM,4 B HOLDINGS LLC,12291623,,2023-08-29,344834,1380.0
11,2023-08-08,9797162865,GRAINGER,12016771,28,2023-08-29,342210,46.46
14,2023-08-22,6213561,WORLD FUEL SERVICES INC,12226294,,2023-08-29,343777,741.94
11,2023-08-08,59866,TSP INC,12030546,,2023-08-29,345637,7283.6
14,2023-08-22,2520249384,ARAMARK UNIFORM & CAREER APPAR,12621433,04,2023-08-29,343806,20.56
11,2023-08-08,416024,SWEETMAN CONSTRUCTION COMPANY,12029188,01,2023-08-29,342180,1572.08
11,2023-02-23,741463,SUDS & DUDS INC,12049672,,2023-08-29,343081,51.3
14,2023-08-24,SEP23 RENT DL,"ENDRES, LAWRENCE",12082477,,2023-08-29,344824,1738.91
11,2023-08-08,23274,INFRASTRUCTURE DESIGN GROUP,12458343,,2023-08-29,345644,2233.91
14,2023-08-24,SEP23 RENT DL,ROSEBUD SIOUX TRIBE,12030277,02,2023-08-29,344815,290.0
11,2022-12-22,08PS0132746,BUTLER MACHINERY COMPANY,12027105,02,2023-08-29,342674,4615.42
11,2023-06-30,1031-00-10063023,CITY OF ARMOUR,12032002,01,2023-08-29,342285,30.0
11,2023-06-28,12556,ABERDEEN VENTURES LLC,12120635,01,2023-08-29,343673,154.0
19,2023-07-27,24SC193248-JUN23,SENIOR CITIZENS SERVICES INC,12032104,,2023-08-29,342776,39542.61
11,2023-08-16,16229,CLIMATE SYSTEMS INC,12039044,,2023-08-29,342316,171.86
19,2023-07-27,DCM65191301,AVERA MEDICAL GRP MILBANK,12029758,02,2023-08-29,343233,35.0
11,2023-08-16,16031P,SCOTT SUPPLY COMPANY INC,12031221,,2023-08-29,342170,73.8
11,2023-06-29,SDABE218645,FASTENAL COMPANY,12021515,,2023-08-29,339483,30.7
11,2023-08-11,2112700000823,SIOUX VALLEY SOUTHWESTERN ELEC,12029084,01,2023-08-29,342150,906.58
11,2022-11-16,255383,NOVEYA INCORPORATED,12053327,,2023-08-29,342288,77.0
11,2023-08-11,1200545012,HDR ENGINEERING INC,12058279,02,2023-08-29,345640,1132.73
11,2023-08-11,110665,REPAIR SHOP INC,12051525,,2023-08-29,339469,780.62
14,2023-08-17,8048411686081723,BLACK HILLS POWER & LIGHT CO,12028526,,2023-08-29,342563,739.44
08,2023-07-31,24SC087633-JUL,EARLY CHILDHOOD CONNECTION,12047877,,2023-08-29,341647,6934.16
14,2023-08-17,853584,SIOUX FALLS VETERINARY HOSPITL,12120074,,2023-08-29,342562,326.29
11,2022-11-16,255382,NOVEYA INCORPORATED,12053327,,2023-08-29,342289,77.0
27,2023-08-07,9941467993,CELLCO PARTNERSHIP,12207494,,2023-08-29,342937,800.2
09,2023-08-17,0823CON242069,GETTYSBURG - CITY OF,12054582,,2023-08-29,341298,3068.0
14,2023-08-24,SEP23 RENT OEM,A&M INVESTMENTS LLC,12649344,,2023-08-29,344825,460.0
16,2023-07-27,9784676547,GRAINGER,12016771,16,2023-08-29,339494,2003.88
16,2023-08-02,31048,IMPACT7G INC,12701823,,2023-08-29,339513,3074.81
11,2023-07-28,32496,OVERWEG AUTO GLASS & FUEL LLC,12312545,,2023-08-29,342362,24.68
18,2023-08-16,3108189701,GRIMCO INC,12575314,,2023-08-29,339556,427.77
11,2023-08-18,37872,BIERSCHBACH EQUIPMENT & SUPPLY,12036267,01,2023-08-29,342293,260.0
16,2023-08-01,3945700,WASTE CONNECTIONS OF SD INC,12037175,01,2023-08-29,339486,212.52
11,2023-08-17,4294595,INNOVATIVE OFFICE SOLUTIONS,12550348,,2023-08-29,343691,35.4
11,2023-08-10,815020077,APH STORES INC,12558584,26,2023-08-29,342280,11.99
27,2023-08-11,1000090803,JDHQ HOTELS LLC,12592953,,2023-08-29,342933,150.0
12,2023-08-24,M1240063,CLARK SCHOOL DISTRICT 12-2,12055408,01,2023-08-29,M345607,104595.0
19,2023-07-26,DCM67017628,CIOX HEALTH LLC,12115581,01,2023-08-29,342840,33.03
11,2023-08-10,9800022460,GRAINGER,12016771,16,2023-08-29,342154,42.64
