agency,document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt
11,2021-12-09,717137-2F,CITY OF AVON,12054274,,2022-01-28,867164,241811.24
06,2022-01-13,9177257012,WW GRAINGER INC,12016771,13,2022-01-28,865193,20.12
11,2021-12-11,10163093,KLJ SOLUTIONS HOLDING COMPANY,12540598,,2022-01-28,867177,13443.3
08,2022-01-10,22SC08A301-JAN2,ELIOR INC,12548705,,2022-01-28,865371,7169.13
29,2022-01-17,0339423-IN,RIVERSIDE TECHNOLOGIES INC,12163031,,2022-01-28,864914,42.0
11,2021-12-08,7807,SIOUX VALLEY COOPERATIVE,12030270,,2022-01-28,864451,4621.29
281,2022-01-28,2838958,"LARSON, VICTORIA",12676742,,2022-01-28,868380,275.0
281,2022-01-28,2838960,"ONKEN, EVAN JAY",12676781,,2022-01-28,868382,275.0
27,2022-01-01,76832,ROCHESTER ARMORED CAR COMPANY,12263973,,2022-01-28,865859,187.35
29,2022-01-25,020122,CUSTER COUNTY SHERIFFS DEPT,12054441,07,2022-01-28,866767,500.0
281,2022-01-28,2838949,"CHAPIN, MASEY",12676581,,2022-01-28,868371,275.0
08,2021-12-28,IN3602209,INNOVATIVE OFFICE SOLUTIONS,12550348,,2022-01-28,865719,212.21
06,2022-01-16,LC2STMTJAN,BOMGAARS SUPPLY INC,12024635,01,2022-01-28,865280,209.74
27,2022-01-15,8222,SIOUX FALLS RUBBER STAMP WORKS,12036365,,2022-01-28,865831,39.0
06,2022-01-17,26901,AD-STAR SALES INC,12039558,,2022-01-28,862040,451.75
27,2022-01-18,378062,MIDSTATES PRINTING INC,12040671,,2022-01-28,864921,1620.0
27,2022-01-24,2022-01,WEERHEIM LAW OFFICE PROF  LLC,12555698,,2022-01-28,867138,2750.0
281,2022-01-28,2838959,"NICKELS, GWYN M",12676774,,2022-01-28,868381,275.0
06,2022-01-11,INV9523889,MARCO TECHNOLOGIES LLC,12201534,,2022-01-28,865225,232.34
08,2022-01-11,082203179,US POSTAL SERVICE-WINNER,12005421,41,2022-01-28,865716,406.25
06,2022-01-12,28784,JACOBS PRECISION WELDING INC,12135138,,2022-01-28,865220,220.83
08,2022-01-10,22SC08A313-JAN1,WAPITI MED GROUP DAKOTA LLC,12500682,,2022-01-28,865364,3825.0
27,2021-12-29,218211311001,OFFICE DEPOT,12115896,05,2022-01-28,865840,12.75
08,2022-01-10,22SC083122-DEC,SOUTH DAKOTA FOUNDATION FOR,12056612,,2022-01-28,860497,3272.5
08,2022-01-10,22SC087600-DEC,EARLY CHILDHOOD CONNECTION,12047877,,2022-01-28,865701,6221.82
