document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt,agency_code_x,agency_name_x,agency_code_y,agency_name_y
2020-11-25,M021BTR009,STANDING ROCK SIOUX TRIBE,12027177,,2020-11-27,,26117.93,2.0,REVENUE,,
2020-11-25,M021BTR009,SPEARFISH-CITY OF,12055082,,2020-11-27,,799910.07,2.0,REVENUE,,
2020-11-23,5411378567,CCH INC,12005063,,2020-11-27,,3429.0,10.0,GOVERNOR'S OFFICE,,
2020-11-25,M021BTR009,SIOUX FALLS-CITY OF,12055054,07,2020-11-27,,10079259.85,2.0,REVENUE,,
2020-11-06,37027,HEIMAN INC,12156911,01,2020-11-27,,256.0,11.0,TRANSPORTATION,,
2020-11-18,28427,AVI-SPL INC,12603005,,2020-11-27,,850.0,10.0,GOVERNOR'S OFFICE,,
2020-11-13,0412844,SUDS & DUDS INC,12049672,,2020-11-27,,7.28,10.0,LABOR AND REGULATION,,
2020-11-13,658911 1120,US POSTAL SERVICE-ABERDEEN,12005421,12,2020-11-27,,10000.0,10.0,LABOR AND REGULATION,,
2020-10-31,DG10-013950,LAWRENCE & SCHILLER INC,12035149,,2020-11-27,,839.61,4.0,TOURISM,,
2020-11-25,M021BTR009,EDGEMONT-CITY OF,12054480,,2020-11-27,,22845.6,2.0,REVENUE,,
2020-11-25,M021BTR009,DALLAS TOWN OF,12056060,,2020-11-27,,8278.15,2.0,REVENUE,,
2020-08-19,P23449,BROSZ ENGINEERING INC,12027853,01,2020-11-27,,4288.03,11.0,TRANSPORTATION,,
2020-11-25,M021BTR009,CROOKS,12036037,01,2020-11-27,,15251.72,2.0,REVENUE,,
2020-11-25,M021BTR009,VOLIN-TOWN OF,12056411,,2020-11-27,,2587.22,2.0,REVENUE,,
2020-11-25,M021BTR009,TOWN OF MORRISTOWN,12031369,,2020-11-27,M516317,626.55,2.0,REVENUE,,
2020-11-25,M021BTR009,EAGLE BUTTE-CITY OF,12055893,,2020-11-27,,47838.7,2.0,REVENUE,,
2020-11-25,M021BTR009,PIERPONT TOWN OF,12056539,01,2020-11-27,,1371.11,2.0,REVENUE,,
