agency,document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt
012,2022-03-02,1-597010,GREAT WESTERN TIRE INC,12038151,,2022-03-29,908885,70.55
19,2022-02-04,DCM24888335,BEHAVIOR MANAGEMENT SYSTEMS,12030341,,2022-03-29,906426,34.03
19,2022-03-09,082203601,NORTHWESTERN ENERGY,12028962,,2022-03-29,907349,18.27
11,2022-03-21,RTAP36-22,BROOKINGS AREA TRANSIT AUTHRTY,12044673,,2022-03-29,908804B,135.0
10,2022-03-21,IN930440,A & B BUSINESS INC,12036980,,2022-03-29,908034,183.07
11,2022-03-04,21895FINAL,INFRASTRUCTURE DESIGN GROUP,12458343,,2022-03-29,908809,2565.55
06,2022-03-15,02 732802,BIERSCHBACH EQUIPMENT & SUPPLY,12036267,01,2022-03-29,908912,587.5
27,2022-03-25,22903252022,"BASTIAN, JOHN W",12382391,,2022-03-29,910024,2325.0
06,2022-03-14,6225431,RUNNING SUPPLY INC,12021713,,2022-03-29,908951,120.48
10,2022-03-21,22-I-025 17980,BLACK HILLS LAWN CARE,12168724,,2022-03-29,908035,150.0
18,2022-02-25,10791K,US HOTEL ACS VENTURES,12388353,,2022-03-29,907289,154.0
08,2022-02-28,1954533235,ARAMARK UNIFORM SERVICE,12126178,03,2022-03-29,907427,21.11
09,2022-03-10,FEB22CON221256,CLARK COUNTY AUDITOR,12054405,12,2022-03-29,907096,185.92
012,2022-03-16,INV-77262,ALL-AROUND INC,12124293,,2022-03-29,908893,23.1
14,2022-03-09,129958,CAMP RAPID SD NATIONAL GUARD,US,A0,2022-03-29,908125,37.0
08,2022-01-26,22SC086009-JAN,BLACK HILLS SPECIAL SERVICES,12037282,,2022-03-29,908780,4270.4
06,2022-03-15,2348340-00,CRUM ELECTRIC SUPPLY CO INC,12121068,,2022-03-29,908913,761.8
06,2022-03-18,IN3716011,INNOVATIVE OFFICE SOLUTIONS,12550348,,2022-03-29,907074,365.02
08,2022-03-14,22SC08A301-MAR3,ELIOR INC,12548705,,2022-03-29,907390,9742.8
08,2022-03-14,22SC08A301-MAR4,ELIOR INC,12548705,,2022-03-29,907391,10474.7
08,2022-03-14,22SC08E069-FEB2,PREVENTION RESEARCH INSTITUTE,12666732,,2022-03-29,909187,650.0
08,2022-01-31,22SC08A305-DEC82,AVERA MCKENNAN,12029758,86,2022-03-29,908330,23.62
013,2022-03-15,3202624,KYNDRYL INC,12670168,,2022-03-29,908868,355.0
06,2022-03-16,P27567,FARMERS IMPLEMENT & IRRIGATION,12034462,,2022-03-29,908977,107.06
012,2022-03-02,202925070,GRAHAM TIRE NORTH,12029595,02,2022-03-29,903876,102.75
012,2022-03-04,22114,DAKOTA GLASS & ALIGNMENT,12592814,,2022-03-29,907829,71.71
012,2022-03-02,1-597009,GREAT WESTERN TIRE INC,12038151,,2022-03-29,907845,128.39
18,2022-03-16,082203623,NORTHWESTERN ENERGY,12028962,,2022-03-29,908334,157.76
012,2022-03-17,H1122--03X/SWMR2,WILL CLARK ELECTRIC,12039638,,2022-03-29,907027,30500.0
013,2022-03-07,106838,AARON CABLE,12304448,,2022-03-29,907800,49.6
06,2022-03-21,03212022,SOUTH DAKOTA ASSN COOPERATIVES,12029443,,2022-03-29,907088,10.0
06,2022-03-18,INV-77293,ALL-AROUND INC,12124293,,2022-03-29,908906,21.0
06,2022-03-15,16491,ARCHITECTURAL SPECIALTIES LLC,12245706,,2022-03-29,908914,347.88
09,2022-03-10,FEB22CON221259,BEADLE COUNTY AUDITOR,12054686,06,2022-03-29,907090,3863.65
27,2022-01-24,IN913123,A & B BUSINESS INC,12036980,,2022-03-29,904386,3.76
08,2022-01-31,22SC08A305-DEC80,AVERA MCKENNAN,12029758,86,2022-03-29,908328,114.98
14,2022-03-09,129937,CAMP RAPID SD NATIONAL GUARD,US,A0,2022-03-29,908104,37.0
06,2022-03-15,28416,MENARDS,12019798,06,2022-03-29,908928,282.16
06,2022-03-15,25345,JENNER EQUIPMENT COMPANY,12032814,,2022-03-29,908922,223.78
19,2022-03-04,DCC1753257,KRISTINE M BASTIAN,12537353,,2022-03-29,906445,50.0
18,2022-03-18,775237183,DIAMOND VOGEL INC,12626132,,2022-03-29,908168,9.95
16,2022-03-02,162124076,HUFF CONSTRUCTION-NEBRASKA LLC,12671838,,2022-03-29,899061,48656.91
12,2022-03-18,M1220268,BROOKINGS SCHOOL DISTRICT 5-1,12055336,01,2022-03-29,M909633,1179190.0
12,2022-03-18,M1220268,DAKOTA VALLEY SCHOOL DIST 61-8,12055878,01,2022-03-29,M909633,315258.0
12,2022-03-18,M1220268,DEUEL SCHOOL DIST 19-4,12055506,01,2022-03-29,M909633,109897.0
18,2022-03-16,9740658,ACME ELECTRIC,12027310,,2022-03-29,908210,117.87
08,2022-03-08,2201184589,MEDLINE INDUSTRIES INC,12017160,,2022-03-29,907382,1693.16
12,2022-03-18,M1220268,ETHAN SCHOOL DISTRICT 17-1,12055461,01,2022-03-29,M909633,145714.0
08,2022-03-08,2201184592,MEDLINE INDUSTRIES INC,12017160,,2022-03-29,907383,828.08
08,2022-03-08,22SC082901-FEB,EQUIFAX WORKFORCE SOLUTIONS,12256417,,2022-03-29,907420,15962.5
08,2022-03-23,22SC08B302220323,CAPITAL AREA COUNSELING SVC,12032117,,2022-03-29,909237,661.13
12,2022-03-18,M1220268,FLORENCE SCHOOL DISTRICT 14-1,12055431,01,2022-03-29,M909633,164143.0
18,2021-12-31,STPINV00097050,SATELLITE TRACKING OF PEOPLE,12509377,,2022-03-29,909135,1750.0
12,2022-03-18,M1220268,FREDERICK AREA SCHOOL DISTRICT,12034401,01,2022-03-29,M909633,50523.0
12,2022-03-18,M1220268,GREGORY SCHOOL DISTRICT 26-4,12055564,01,2022-03-29,M909633,153495.0
08,2022-03-08,22SC086335-MAR,CHOICE ADOPTIONS,12671339,,2022-03-29,907397,400.0
19,2022-03-08,DCC1744580,REBECCA J WATSON-MILLER PHD,12476844,,2022-03-29,907636,323.79
19,2022-03-08,DCC1813094,JOHN LASSEGARD MD FAMILY PHYS,12553720,,2022-03-29,907647,641.55
09,2022-03-11,0222CON221037,JACKSON COUNTY,12054726,,2022-03-29,907129,132.4
06,2022-03-16,2546420,RUNNING SUPPLY INC,12021713,,2022-03-29,908991,46.69
08,2022-02-09,22SC08A305-OC116,AVERA MCKENNAN,12029758,86,2022-03-29,908313,86.45
08,2022-03-22,22SC08E351-OCT1,COMMUNITY COUNSELING SERVICES,12030859,,2022-03-29,909197,2168.78
09,2022-03-11,T348236,CDW GOVERNMENT INC,12018139,01,2022-03-29,907144,220.0
06,2022-03-17,0344279-IN,RIVERSIDE TECHNOLOGIES INC,12163031,,2022-03-29,908935,897.0
