agency,document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt
09,2021-12-09,7015837902,MERCK & CO INC,12011328,,2021-12-31,846114,4630.8
02,2021-12-16,021012097,YANKTON-CITY OF,12055287,,2021-12-31,844494,64.93
19,2021-11-18,DCM20310870,DEBRA SHEPPARD PHD,12514700,,2021-12-31,845858,25.0
013,2021-12-14,P748404,CDW GOVERNMENT INC,12018139,01,2021-12-31,845998,104.0
19,2021-12-20,122012,VICTORIA STILWELL ACADEMY LLC,12673060,,2021-12-31,845831,3450.0
11,2021-12-18,221161826,VNDR   12564121,12564121,,2021-12-31,845605,65.0
02,2021-12-15,535631,QUALIFIED PRESORT SERVICE LLC,12011039,,2021-12-31,844498,93.04
11,2021-12-09,261970121221,NORTHWESTERN ENERGY,12028962,15,2021-12-31,845627,327.1
19,2021-12-21,VRM211222360278,"BRAG, CAITLYN K",12673625,,2021-12-31,845784,28.75
08,2021-12-03,RX1697142/01,HY-VEE INC,12024480,06,2021-12-31,845343,11.07
19,2021-11-19,IN893787,A & B BUSINESS INC,12036980,,2021-12-31,845206,93.65
08,2021-12-03,RX1697142,HY-VEE INC,12024480,06,2021-12-31,845347,1.03
19,2021-12-20,IN903071,A & B BUSINESS INC,12036980,,2021-12-31,845212,62.22
11,2021-12-20,903076,A & B BUSINESS INC,12036980,,2021-12-31,845712,61.03
10,2021-11-30,22-1000-00776270,LAWRENCE & SCHILLER INC,12035149,,2021-12-31,848118,680.62
19,2021-12-21,ROI0075966,RURAL HEALTH CARE INC,12041219,20,2021-12-31,845786,12.32
19,2021-11-18,31669,NOVEYA INCORPORATED,12053327,,2021-12-31,845204,77.0
17,2021-12-04,1976939198,MEDLINE INDUSTRIES INC,12017160,,2021-12-31,845720,1024.91
12,2021-11-17,INV9347905,MARCO TECHNOLOGIES LLC,12201534,,2021-12-31,845454,7.0
12,2021-10-30,D12200678,"OCONNOR, GRACE M",12185802,,2021-12-31,845478,54.32
17,2021-12-08,171121105,"MYRUM, CURT",12241233,,2021-12-31,845727A,100.0
08,2021-12-01,22SC082039-NOV,COMPUTER CONSULTANTS INTL INC,12654979,,2021-12-31,829965,14136.0
06,2021-06-29,0601-449-62 FY22,MARSHALL COUNTY AUDITOR,12054327,,2021-12-31,701144,100.0
02,2021-12-22,10612J,REGENCY MIDWEST VENTURES LTD,12177768,03,2021-12-31,844505,154.0
11,2021-12-09,1059SY,REGENCY MIDWEST VENTURES LTD,12177768,03,2021-12-31,845679,231.0
09,2021-12-18,5F6668511,UNITED PARCEL SERVICE,12017083,01,2021-12-31,845435,1019.93
012,2021-10-22,725555,VNDR   12674806,12674806,,2021-12-31,846562,60.66
17,2021-12-03,171121113,VNDR   12674439,12674439,,2021-12-31,845734,100.0
11,2021-12-08,IV49822,WINTER EQUIPMENT COMPANY INC,12015961,,2021-12-31,846173,3129.01
19,2021-12-14,1350012A.1,ABILITIZE LLC,12428538,,2021-12-31,845836,81.9
012,2021-12-23,3664,CUSTOM TRANSPORTATION INC,12664750,,2021-12-31,846554,4670.0
19,2021-12-20,22SC190028122021,"PEABODY WIGTON, DEIDREA",12537014,,2021-12-31,845183,1158.0
12,2021-10-29,D12200688,VNDR   12672767,12672767,,2021-12-31,845474,14.0
19,2021-12-13,IN3569054,INNOVATIVE OFFICE SOLUTIONS,12550348,,2021-12-31,845759,173.76
08,2021-12-13,18855553,MCKESSON MEDICAL-SURGICAL INC,12489193,,2021-12-31,845405,170.33
27,2021-12-01,2251201202103,VALLEY TELECOMMUNICATIONS,12030189,,2021-12-31,845228,80.0
19,2021-12-17,DCM22836289,VNDR   12443553,12443553,01,2021-12-31,845893,32.03
11,2021-12-20,903078,A & B BUSINESS INC,12036980,,2021-12-31,845714,58.47
08,2021-11-03,RX1801354/01,LEWIS DRUGS-EASTGATE 3,12029381,01,2021-12-31,846081,9.89
11,2021-12-16,C261296174:01,I STATE TRUCK INC,12291406,,2021-12-31,845607,121.78
29,2021-12-09,28963032,MATTHEW BENDER & COMPANY INC,12005509,02,2021-12-31,846360,335.31
02,2021-11-01,M971827,CDW GOVERNMENT INC,12018139,01,2021-12-31,844514,520.0
19,2021-12-10,VRM211222358981,LIFE QUEST,12035739,01,2021-12-31,845772,10.74
11,2021-12-17,70017148,TRI-STATE BATTERY CO,12006720,,2021-12-31,845614,245.9
08,2021-12-17,RX529776,ANDERSON PHARMACY INC,12044448,,2021-12-31,845366,13.5
11,2021-12-17,2032040101121,BLACK HILLS POWER & LIGHT CO,12028526,,2021-12-31,846120,75.71
19,2021-11-30,DCM21575924,VNDR   12120283,12120283,A0,2021-12-31,845864,12.03
19,2021-10-28,720013,VNDR   12672601,12672601,,2021-12-31,845194,92.0
19,2021-12-01,VRM211222360263,VNDR   12131348,12131348,,2021-12-31,845804,171.67
19,2021-12-13,INV2600007844,ELIOR INC,12548705,,2021-12-31,845198,2191.14
12,2021-12-02,INV9397259,MARCO TECHNOLOGIES LLC,12201534,,2021-12-31,845455,55.62
012,2021-12-21,22F2579596,BECK MOTORS INC,12032416,,2021-12-31,846546,307118.0
08,2021-11-11,RX1714581,HY-VEE INC,12024480,06,2021-12-31,845388,13.1
17,2021-12-08,171121106,VNDR   12241233,12241233,,2021-12-31,845728,100.0
11,2021-12-16,C261296179:01,I STATE TRUCK INC,12291406,,2021-12-31,845608,367.04
19,2021-12-17,DCM22112826,VNDR   12443553,12443553,01,2021-12-31,845873,25.0
19,2021-12-21,VRM211222360270,"VAN DER WALT, MYA",12667129,,2021-12-31,845785,441.01
19,2021-12-08,DCM21174349,VNDR   12081751,12081751,A0,2021-12-31,845862,12.03
19,2021-11-22,DCM21053977,TRINITY HEALTH,12136444,01,2021-12-31,845861,35.0
27,2021-12-13,IN3586347,INNOVATIVE OFFICE SOLUTIONS,12550348,,2021-12-31,846345,7.49
11,2021-12-14,1314919,RUNNING SUPPLY INC,12021713,17,2021-12-31,845521,17.99
19,2021-12-20,252000083883,ARAMARK UNIFORM & CAREER APPAR,12621433,04,2021-12-31,845754,166.87
