agency,document_date,document_number,vendor_name,vendor_number,vendor_group_number,ap_payment_date,voucher_number,amt
14,2023-03-24,2023-SEP-00040,NATIVE AMERICAN COMMUNITY BD,12040742,,2023-03-31,198139,5619.04
08,2023-03-17,RX7210413,CSRX INC,12209287,,2023-03-31,198612,11.68
19,2023-03-20,INV2600011084,ELIOR INC,12548705,,2023-03-31,197909,78937.44
14,2023-03-23,EX176893,FOOTSTEPS COUNSELING LLC,12557964,,2023-03-31,198155,40.0
18,2023-03-07,6336886794,ECOLAB INC,12020864,06,2023-03-31,197582,6864.18
11,2023-03-20,138642,BLACKSTRAP INC,12241692,,2023-03-31,198093,4401.63
29,2023-03-23,FAMAW032023-1249,GRANT WRITING USA,12143217,,2023-03-31,198390,465.0
14,2023-03-23,EX176935,REHAB DOCTORS,12023674,,2023-03-31,198152,127.92
014,2023-03-17,082302137,BLACK HILLS POWER & LIGHT CO,12028526,,2023-03-31,198973,25.25
08,2023-03-07,58910,BADGER STATE RECOVERY INC,12208910,01,2023-03-31,198982,787.41
06,2023-03-13,00729110,"SCHIMKAT, JERRELL",12090872,01,2023-03-31,198660,23.33
18,2023-03-07,93984373,MCMASTER-CARR SUPPLY COMPANY,12016786,,2023-03-31,197581,98.02
03,2023-03-16,X03242023,AT&T MOBILITY II LLC,12279233,,2023-03-31,197980,1070.4
11,2023-02-28,90248673,BNSF RAILWAY,12024428,06,2023-03-31,199330,1169.04
08,2023-02-23,RX6097628,AVERA MCKENNAN,12029758,B6,2023-03-31,198627,29.91
14,2023-03-23,EX176925,COMMUNITY HEALTH CENTER,12044434,,2023-03-31,198149,257.21
013,2023-03-16,221903,INFO-TECH RESEARCH GROUP INC,12665306,,2023-03-31,198542,1965.46
18,2023-03-07,38519,MENARDS,12019798,12,2023-03-31,197583,17.27
014,2023-03-20,25029,MEWS SERVICES INC,12043927,,2023-03-31,198572,489.0
11,2023-03-20,136616332023,BLACK HILLS POWER & LIGHT CO,12028526,,2023-03-31,197698,17.52
19,2023-03-07,58912,BADGER STATE RECOVERY INC,12208910,01,2023-03-31,197811,70.0
11,2023-03-22,259371,NOVEYA INCORPORATED,12053327,,2023-03-31,198103,154.0
11,2023-02-23,1-615751,GREAT WESTERN TIRE INC,12038151,,2023-03-31,198078,846.9
11,2023-03-19,34736360323,QWEST CORPORATION,12121401,20,2023-03-31,199892,153.63
